glac,month,prev_mean_elev_m,onset_mean_elev_m
6025,6,2381.85,2395.2083333333335
6026,6,2396.55,2407.0416666666665
6029,6,2516.8,2534.3333333333335
6031,6,2771.9,2785.2916666666665
6043,6,2478.5,2504.0
6047,6,3002.15,3013.3333333333335
6052,6,2836.9,2856.2916666666665
6053,6,2552.15,2570.25
6058,6,2778.65,2777.25
6063,6,2667.2,2651.0416666666665
6064,6,2707.35,2737.2916666666665
6069,6,2058.1,2093.5
6114,6,2366.45,2389.6666666666665
6117,6,3035.85,3071.5
6120,6,2671.95,2676.0833333333335
6121,6,2636.8,2645.9583333333335
6126,6,2610.3,2625.875
6128,6,2551.25,2543.4166666666665
6135,6,2533.2,2508.5833333333335
6137,6,2586.55,2504.875
6148,6,2574.7,2583.8333333333335
6218,6,2671.75,2682.125
6246,6,2039.35,2044.0416666666667
6255,6,2561.35,2514.5
6257,6,2137.8,2140.0
6259,6,2228.65,2239.6666666666665
6302,6,2190.15,2255.3333333333335
6352,6,2749.15,2826.3333333333335
6353,6,2744.55,2674.625
6360,6,2515.25,2401.3333333333335
6369,6,2956.05,2998.0
9741,6,1973.55,2084.5416666666665
11734,6,1933.5,1958.75
11755,6,1949.2,1985.7083333333333
11761,6,2069.6,2116.875
11766,6,2181.8,2229.4583333333335
11767,6,1935.05,2006.3333333333333
11796,6,1947.1,1949.7083333333333
11800,6,1922.3,1926.0416666666667
11812,6,1895.9,1913.2083333333333
11822,6,2064.65,2103.9583333333335
11926,6,2033.7,2136.5833333333335
11927,6,1729.45,1782.125
11937,6,1996.65,2001.0
11940,6,2027.5,2037.2083333333333
11946,6,1711.55,1746.25
11947,6,1975.95,2078.4166666666665
11952,6,1887.85,1929.0
11955,6,1645.95,1653.7916666666667
11968,6,1926.1,1936.5
11977,6,1848.1,1898.0
11989,6,1712.6,1773.3333333333333
12002,6,1781.9,1822.0833333333333
12010,6,1859.3,1972.5833333333333
12027,6,1998.75,2060.3333333333335
12030,6,1999.15,2047.0416666666667
12036,6,2034.6,2059.7916666666665
12074,6,1993.0,2033.3333333333333
12078,6,2084.5,2170.0833333333335
12086,6,1683.75,1751.7916666666667
12092,6,1689.25,1750.9583333333333
12114,6,1799.5,1811.3333333333333
12121,6,1949.4,2056.5
12125,6,1793.9,1861.5
12145,6,1894.45,1959.5416666666667
12178,6,2071.25,2121.4583333333335
12200,6,2222.3,2252.5
12209,6,2258.0,2296.0416666666665
12291,6,1858.3,1876.3333333333333
12307,6,2014.25,2070.6666666666665
12311,6,1811.85,1829.1666666666667
12610,6,2049.8,2143.0416666666665
12614,6,2108.4,2117.5833333333335
12615,6,1942.75,2049.5
12617,6,1774.8,1780.1666666666667
12626,6,1976.1,2023.25
12800,6,1891.4,1964.6666666666667
12807,6,2110.1,2209.7083333333335
12842,6,1886.1,1897.5416666666667
12849,6,2189.2,2194.3333333333335
12885,6,2242.8,2370.125
12905,6,2031.3,2083.0833333333335
12957,6,2496.4,2517.9583333333335
12963,6,2325.7,2366.5
12968,6,2035.9,2056.875
12975,6,2292.55,2308.375
12980,6,2264.15,2281.375
12984,6,2291.25,2327.625
12985,6,2179.75,2196.9166666666665
12987,6,2221.5,2249.25
13006,6,2110.55,2124.9166666666665
13054,6,2366.4,2430.4166666666665
13058,6,2406.85,2451.7083333333335
13060,6,2450.35,2482.5416666666665
13067,6,2398.8,2437.5833333333335
13075,6,2481.7,2522.7083333333335
13080,6,2469.0,2499.5416666666665
13089,6,2528.25,2529.4166666666665
13124,6,2444.9,2481.2916666666665
13646,6,2261.0,2270.6666666666665
13651,6,2404.65,2525.0
13652,6,1862.05,1880.5
13661,6,2540.9,2573.4166666666665
13665,6,2432.75,2450.9166666666665
13695,6,2647.3,2655.0416666666665
13869,6,2628.4,2638.5
13885,6,2507.85,2536.3333333333335
13891,6,2445.0,2465.375
13897,6,2398.2,2418.3333333333335
13959,6,2802.8,2858.7083333333335
13983,6,1986.35,1983.0
14024,6,2371.25,2405.7916666666665
14060,6,2043.8,2055.9166666666665
14076,6,2431.7,2452.4166666666665
14080,6,2500.4,2526.5833333333335
14101,6,2421.65,2435.0
14105,6,2547.0,2591.7083333333335
14117,6,2367.8,2408.0833333333335
14119,6,2478.85,2503.8333333333335
14126,6,2464.25,2467.2083333333335
14137,6,2656.25,2683.1666666666665
14180,6,2746.05,2707.3333333333335
14183,6,2679.6,2678.75
14203,6,2762.35,2767.5833333333335
14218,6,2651.0,2663.2083333333335
14219,6,2699.75,2693.7083333333335
16312,6,2577.1,2577.375
16314,6,2529.8,2529.5
16327,6,2727.95,2797.25
16332,6,2434.25,2500.4583333333335
16341,6,2636.45,2681.875
16346,6,2887.1,2914.4583333333335
16351,6,2943.7,2975.7083333333335
16372,6,2524.05,2591.7916666666665
16379,6,2580.85,2622.2916666666665
16406,6,3243.35,3215.5
16437,6,2825.9,2839.0833333333335
16444,6,2903.45,2883.2083333333335
16457,6,2739.85,2742.375
16463,6,2625.3,2641.125
16485,6,2908.3,2923.125
16486,6,2924.5,2936.0
16515,6,1003.9,1380.1666666666667
16532,6,2464.7,2431.7083333333335
16534,6,2324.05,2327.375
16535,6,2413.45,2425.2083333333335
16536,6,2379.2,2387.4583333333335
16537,6,2420.05,2432.1666666666665
16540,6,2417.75,2420.625
16545,6,2440.55,2455.1666666666665
16554,6,2433.45,2441.9583333333335
16556,6,2423.9,2401.4583333333335
16569,6,2329.4,2356.5416666666665
16618,6,1960.7,1992.0833333333333
16657,6,2148.9,2183.2083333333335
5500,7,2707.05,2786.0
5509,7,2353.0,2454.4166666666665
5514,7,2779.4,2797.6666666666665
5525,7,2829.25,2819.4166666666665
5529,7,2647.05,2720.5
5533,7,2697.3,2736.75
5535,7,2789.35,2801.0
5536,7,2907.05,2932.9583333333335
5550,7,3097.55,3141.0
5557,7,2801.45,2766.5833333333335
5558,7,2982.55,2962.875
5559,7,2849.4,2848.9166666666665
5565,7,2949.05,2961.25
5572,7,2763.35,2790.625
5573,7,2718.55,2776.0
5574,7,2777.95,2828.2083333333335
5581,7,2776.5,2801.375
5582,7,2963.4,2993.25
5583,7,2949.9,2947.7916666666665
5584,7,2964.1,3041.7916666666665
5589,7,3051.15,3086.0
5594,7,2495.25,2576.125
5632,7,2730.95,2799.5833333333335
5663,7,2525.3,2515.0833333333335
5675,7,1972.0,2030.75
5685,7,2182.1,2220.25
5696,7,2754.25,2958.125
5743,7,2329.0,2362.125
5763,7,2311.8,2402.5
5777,7,2541.9,2697.375
5780,7,3072.55,3068.4166666666665
5785,7,2730.4,2699.75
5793,7,2697.2,2766.0833333333335
5804,7,2629.9,2625.3333333333335
5807,7,2600.4,2607.125
5813,7,2712.75,2727.625
5823,7,2519.0,2488.5416666666665
5833,7,2695.15,2626.5416666666665
5836,7,2659.55,2670.875
5845,7,2428.05,2448.9166666666665
5847,7,2296.5,2317.5
5848,7,2317.5,2371.625
5849,7,2669.55,2759.625
5850,7,2357.5,2685.125
5851,7,2699.75,2761.375
5862,7,2900.2,2882.5
5874,7,2399.7,2463.125
5875,7,3508.2,3569.1666666666665
5878,7,3507.45,3617.125
5880,7,3177.45,3217.5416666666665
5904,7,3191.9,3243.375
5944,7,2560.9,2643.2083333333335
5950,7,2922.05,2953.9166666666665
5955,7,2810.15,3062.625
5962,7,2182.55,2360.0
5964,7,2325.95,2334.0
5965,7,2540.15,2550.125
5970,7,2397.55,2398.875
5972,7,3236.65,3283.1666666666665
5974,7,2951.5,2919.2916666666665
5979,7,3001.45,3006.6666666666665
5981,7,3236.1,3314.25
5986,7,3317.15,3341.2083333333335
5999,7,3809.85,3531.7916666666665
6001,7,3740.15,3833.125
6009,7,2874.65,2864.3333333333335
6016,7,3276.1,3375.125
6023,7,2276.1,2282.9166666666665
6025,7,2404.85,2416.9166666666665
6026,7,2424.95,2432.0
6029,7,2572.4,2582.7083333333335
6031,7,3296.25,3335.75
6043,7,2536.15,2593.0
6047,7,3505.35,3547.25
6052,7,3211.6,3300.9166666666665
6053,7,2544.8,2604.5
6058,7,3254.3,3300.5416666666665
6063,7,2770.8,2751.125
6064,7,2740.7,2854.125
6069,7,2023.95,2097.625
6114,7,2300.8,2455.625
6117,7,3166.95,3291.2916666666665
6120,7,2715.8,2727.0
6121,7,2718.3,2711.625
6126,7,2770.8,2824.75
6128,7,2741.6,2740.75
6135,7,2768.75,2719.5
6137,7,2821.1,2764.5833333333335
6148,7,2774.1,2823.9166666666665
6218,7,2865.2,2889.5
6246,7,2184.2,2145.1666666666665
6255,7,2677.5,2541.0
6257,7,2120.25,2140.0
6259,7,2192.4,2244.0
6302,7,2147.0,2268.25
6352,7,3209.75,3343.4166666666665
6353,7,2928.65,2845.5
6360,7,2657.95,2464.625
6369,7,3202.15,3372.9166666666665
9741,7,1942.55,2107.75
11734,7,1844.65,1967.0
11755,7,1881.2,1992.1666666666667
11761,7,2016.25,2141.5416666666665
11766,7,2109.65,2253.5
11767,7,1843.95,2022.2083333333333
11796,7,1868.7,1953.0
11800,7,1855.9,1930.5
11812,7,1874.85,1919.5
11822,7,1955.55,2125.0
11926,7,1911.65,2161.4166666666665
11927,7,1666.25,1789.2083333333333
11937,7,1977.25,2008.0
11940,7,1999.9,2046.875
11946,7,1664.6,1746.25
11947,7,1955.65,2086.5
11952,7,1877.5,1936.375
11955,7,1580.05,1654.0
11968,7,1846.65,1940.0
11977,7,1847.8,1910.625
11989,7,1761.6,1778.375
12002,7,1745.95,1823.875
12010,7,1843.9,1986.75
12027,7,1936.55,2078.625
12030,7,1967.7,2067.375
12036,7,2000.65,2066.875
12074,7,1961.05,2045.875
12078,7,2006.25,2189.2083333333335
12086,7,1666.7,1755.5
12092,7,1714.7,1753.875
12114,7,1797.6,1813.5
12121,7,2014.0,2079.75
12125,7,1720.95,1865.0416666666667
12145,7,1942.05,1967.0
12178,7,2022.35,2142.5
12200,7,2251.2,2278.375
12209,7,2291.9,2367.7916666666665
12291,7,1858.1,1880.125
12307,7,2001.95,2081.625
12311,7,1804.6,1830.0
12610,7,1833.85,2161.0
12614,7,2086.35,2125.0
12615,7,1810.8,2076.75
12617,7,1770.15,1781.25
12626,7,1957.65,2031.25
12800,7,1825.9,2016.875
12807,7,1950.4,2226.2083333333335
12842,7,1825.2,1900.0
12849,7,2159.0,2196.0
12885,7,2268.7,2466.375
12905,7,2035.85,2094.875
12957,7,2382.8,2541.0
12963,7,2460.0,2533.75
12968,7,2043.2,2066.1666666666665
12975,7,2287.3,2340.0
12980,7,2183.25,2304.75
12984,7,2317.6,2367.5833333333335
12985,7,2168.45,2218.5
12987,7,2239.2,2267.25
13006,7,2126.7,2138.5416666666665
13054,7,2426.6,2506.125
13058,7,2415.3,2484.5
13060,7,2516.45,2553.125
13067,7,2385.1,2484.625
13075,7,2526.6,2585.2083333333335
13080,7,2517.7,2548.9166666666665
13089,7,2665.85,2664.3333333333335
13124,7,2513.35,2629.125
13646,7,2229.55,2272.0
13651,7,2298.5,2594.0
13652,7,1825.6,1882.875
13661,7,2601.5,2665.1666666666665
13665,7,2445.05,2492.7916666666665
13695,7,2739.6,2783.0416666666665
13869,7,2641.9,2694.0
13885,7,2505.05,2631.75
13891,7,2413.95,2469.0
13897,7,2404.2,2421.125
13959,7,2871.95,2926.75
13983,7,2005.9,1986.625
14024,7,2544.6,2549.625
14060,7,2088.7,2061.25
14076,7,2463.35,2617.875
14080,7,2568.5,2621.8333333333335
14101,7,2500.3,2538.625
14105,7,2722.4,2753.4166666666665
14117,7,2458.8,2506.7083333333335
14119,7,2537.85,2590.5
14126,7,2547.6,2553.625
14137,7,2996.7,3101.625
14180,7,3222.25,3172.75
14183,7,3103.2,3093.5416666666665
14203,7,3276.15,3382.0416666666665
14218,7,3333.55,3446.4166666666665
14219,7,3108.55,3128.4166666666665
16312,7,2672.35,2701.5
16314,7,2625.55,2688.625
16327,7,2736.85,2900.8333333333335
16332,7,2424.5,2588.375
16341,7,2611.3,2837.25
16346,7,2973.05,3053.5416666666665
16351,7,3186.15,3359.1666666666665
16372,7,2528.45,2633.625
16379,7,2606.8,2737.0
16406,7,3343.8,3368.2916666666665
16437,7,3334.3,3391.2916666666665
